Athlete,Team,Score,Remark,Form
RODRIGUES DOS REIS Pedro Henrique,BRA,8.68,3RD Prize,. Men's Other Barehand Routines-Group E
JIA Meng,CHN,8.68,3RD Prize,. Men's Other Barehand Routines-Group E
MAK Sherman Shu Hang,AUS,8.68,3RD Prize,. Men's Other Barehand Routines-Group E
MARTINS GONCALVES Marco Antonio,PRT,8.67,,. Men's Other Barehand Routines-Group E
LICHACZ Roman Andrzej,POL,8.66,,. Men's Other Barehand Routines-Group E
GALLARDO GONZALO Ivan,ESP,8.65,,. Men's Other Barehand Routines-Group E
OIE Hidetaro,JPN,8.57,,. Men's Other Barehand Routines-Group E
CHOO Hing How,MYS,8.57,,. Men's Other Barehand Routines-Group E
CHIATOVICH Aaron Joshua,USA,8.5,,. Men's Other Barehand Routines-Group E
LORENSU HEWAGE Nuwan Sanjeewa,LKA,(DNS),,. Men's Other Barehand Routines-Group E
CHEN Zhigang,CHN,(DNS),,. Men's Other Barehand Routines-Group E
ZHAO Chuanhui,CHN,8.84,1ST Prize,. Men's Other Barehand Routines-Group F
OTAKA Kazuhiko,JPN,8.7,2ND Prize,. Men's Other Barehand Routines-Group F
KWAN Siew Hung,SGP,8.7,3RD Prize,. Men's Other Barehand Routines-Group F
CHEN Zuobin,CHN,8.66,3RD Prize,. Men's Other Barehand Routines-Group F
DA ROSA Carlos Alberto,BRA,8.62,,. Men's Other Barehand Routines-Group F
HACKNER Allan Jonathan,ZAF,8.61,,. Men's Other Barehand Routines-Group F
LOPATKIN Evgenii,KGZ,8.6,,. Men's Other Barehand Routines-Group F
SEMAEV Oleg,KGZ,(DNS),,. Men's Other Barehand Routines-Group F
WRINN Benjamin Charles,USA,8.69,1ST Prize,. Men's Nandao (Southern Broadsword)-Group C
PETRAKOVSKIY Denis,KAZ,8.68,2ND Prize,. Men's Nandao (Southern Broadsword)-Group C
KUCUKAKYUZ Kaan,TUR,8.66,3RD Prize,. Men's Nandao (Southern Broadsword)-Group C
SILVA VERA Miguel,ESP,8.6,,. Men's Nandao (Southern Broadsword)-Group C
BAZZARA Mario Faris,ITA,8.57,,. Men's Nandao (Southern Broadsword)-Group C
ABDALLA WAEL Mostafa Abdelkarim,EGY,8.49,,. Men's Nandao (Southern Broadsword)-Group C
XIAN Daniel Haocheng,USA,8.73,1ST Prize,. Men's Pudao -Group C
ANTILLON MALDONADO Cristian Ricardo,MEX,8.69,2ND Prize,. Men's Pudao -Group C
MAKRIS Panagiotis,GRC,8.67,3RD Prize,. Men's Pudao -Group C
ONIANI Giorgi,GEO,8.65,3RD Prize,. Men's Pudao -Group C
BREZETOS Georgios,GRC,8.65,,. Men's Pudao -Group C
BOJORQUEZ LOPEZ Roger,MEX,8.62,,. Men's Pudao -Group C
ADAM AYMAN Morsi Aboelabbas,EGY,8.79,1ST Prize,. Men's Other Single-weapon Routines-Group C
WANG Bryant Xu,USA,8.75,1ST Prize,. Men's Other Single-weapon Routines-Group C
HO Ching Hin,HKG,8.75,2ND Prize,. Men's Other Single-weapon Routines-Group C
VON DEM BRUCH Noah James,USA,8.71,2ND Prize,. Men's Other Single-weapon Routines-Group C
FARR Preston Minghan,USA,8.71,2ND Prize,. Men's Other Single-weapon Routines-Group C
SHEN Justin,USA,8.7,2ND Prize,. Men's Other Single-weapon Routines-Group C
DJUNAIDY Dexton Jax,USA,8.7,3RD Prize,. Men's Other Single-weapon Routines-Group C
PRADO DE MELO Jorge Augusto,BRA,8.63,3RD Prize,. Men's Other Single-weapon Routines-Group C
TURCHIAROLO Gaetano Attilio,ITA,8.63,3RD Prize,. Men's Other Single-weapon Routines-Group C
ZIAD AHMED Samy Mohamed,EGY,8.63,3RD Prize,. Men's Other Single-weapon Routines-Group C
TELESSINOV Arman,KAZ,8.62,3RD Prize,. Men's Other Single-weapon Routines-Group C
CHEONG Io Kei,MAC,8.61,,. Men's Other Single-weapon Routines-Group C
CHEN Zheyu,USA,8.61,,. Men's Other Single-weapon Routines-Group C
MAHMOUD AHMED Abdalla Abdelhalim,EGY,8.6,,. Men's Other Single-weapon Routines-Group C
WITHANAGE Oshan Chalakshana,LKA,8.58,,. Men's Other Single-weapon Routines-Group C
MIU Andrei Eduard,ROU,8.57,,. Men's Other Single-weapon Routines-Group C
KAMPS Darius,DEU,8.55,,. Men's Other Single-weapon Routines-Group C
SEMYESHKIN Konstantin,LVA,8.54,,. Men's Other Single-weapon Routines-Group C
BENSADOUNE Haithem,DZA,(DNS),,. Men's Other Single-weapon Routines-Group C
YANG Josepha,FRA,9.11,1ST Prize,. Women's Baguazhang-Group D
DISARO Chantal,DEU,8.96,2ND Prize,. Women's Baguazhang-Group D
ABIS Sonia,ITA,8.89,2ND Prize,. Women's Baguazhang-Group D
KRON Yoni Shan Marina,DEU,8.89,3RD Prize,. Women's Baguazhang-Group D
AKYUZ Zeynep Makbule,TUR,8.87,3RD Prize,. Women's Baguazhang-Group D
MEDRANO MENDOZA Yessenia Arizbeth,MEX,8.82,3RD Prize,. Women's Baguazhang-Group D
KOKUMBEK KYZY Eles,KGZ,8.72,,. Women's Baguazhang-Group D
DE LA ROSA LIRA Grace Guadalupe,MEX,8.66,,. Women's Baguazhang-Group D
HEMLI Sirine,TUN,8.65,,. Women's Baguazhang-Group D
FRANCO Luna Magdalena,USA,8.65,,. Women's Baguazhang-Group D
ZHANG Xue,CHN,9.07,1ST Prize,. Women's Bajiquan-Group D
YEUNG Michelle,HKG,8.96,2ND Prize,. Women's Bajiquan-Group D
KRYSKO Alina,UKR,8.87,3RD Prize,. Women's Bajiquan-Group D
LIRA ACOSTA Andrea Sulim,MEX,8.85,3RD Prize,. Women's Bajiquan-Group D
ACOSTA ORTEGA Yuliana Sarahi,MEX,8.7,,. Women's Bajiquan-Group D
Patricia FERNANDES LULIA JACOB,GBR,8.65,,. Women's Bajiquan-Group D
ZHU Ieng Ieng,MAC,8,,. Women's Bajiquan-Group D
AKYUZ Elif,TUR,8.82,2ND Prize,. Women's Chaquan-Group D
HATALOVÁ Hanka,SVK,8.51,3RD Prize,. Women's Chaquan-Group D
ONDROVI?OVÁ Lenka,SVK,8.45,,. Women's Chaquan-Group D
HENEGAMA MILLAGASANGE GEDARA Thiyangi Dimalsha Weerasinghe,LKA,8.34,,. Women's Chaquan-Group D
AIT ZERROUK Melissa,DZA,(DNS),,. Women's Chaquan-Group D
OKUN Carmel,ISR,8.87,1ST Prize,. Women's Shaolinquan-Group D
VIZI Enik?,HUN,8.83,1ST Prize,. Women's Shaolinquan-Group D
PISANI Teresa Aida,ITA,8.82,2ND Prize,. Women's Shaolinquan-Group D
YIM Wing Tung,HKG,8.82,2ND Prize,. Women's Shaolinquan-Group D
KUSPANOVA Dayana,KAZ,8.78,2ND Prize,. Women's Shaolinquan-Group D
TARTUFOLI Alessia,ITA,8.74,2ND Prize,. Women's Shaolinquan-Group D
KOKOLESI Elena,GRC,8.69,3RD Prize,. Women's Shaolinquan-Group D
HORVÁTH Dora Timea,HUN,8.61,3RD Prize,. Women's Shaolinquan-Group D
PANECATL URQUIZA Karen Priscila,MEX,8.6,3RD Prize,. Women's Shaolinquan-Group D
GUEVARA PINEDO Wara Lucero,BOL,8.58,3RD Prize,. Women's Shaolinquan-Group D
KUN Enik?,HUN,8.57,3RD Prize,. Women's Shaolinquan-Group D
ALENCAR RIBEIRO Regina Helena,BRA,8.53,3RD Prize,. Women's Shaolinquan-Group D
Myrsini Chionia CHRISTODOULELLI,GBR,8.52,,. Women's Shaolinquan-Group D
VATZAKA Maria Eleni,GRC,8.49,,. Women's Shaolinquan-Group D
WESTERMAN Megan Ruth,USA,8.49,,. Women's Shaolinquan-Group D
PATTARO DE MENDONÇA Solange,BRA,8.47,,. Women's Shaolinquan-Group D
JACOBS Bianca Candice,ZAF,8.45,,. Women's Shaolinquan-Group D
TREJO ROMAN Liliana,MEX,8.38,,. Women's Shaolinquan-Group D
BAHODUROVA Firuzakhon,TJK,8,,. Women's Shaolinquan-Group D
JACOBS Shannon Stephanie,ZAF,(DNS),,. Women's Shaolinquan-Group D
DUAN Yuan,CHN,9.25,1ST Prize,. Women's Other Barehand Routines-Group D
CHIRILIUC Anastasia,ISR,9.15,1ST Prize,. Women's Other Barehand Routines-Group D
CHEN Yu,CHN,9.12,1ST Prize,. Women's Other Barehand Routines-Group D
Chong Yaru,CHN,9.1,2ND Prize,. Women's Other Barehand Routines-Group D
DAI Weilong,CHN,9.02,2ND Prize,. Women's Other Barehand Routines-Group D
ZHOU Lin,CHN,9,2ND Prize,. Women's Other Barehand Routines-Group D
WONG Amy Ka-Lai,USA,8.89,2ND Prize,. Women's Other Barehand Routines-Group D
POLTORATSKA Yana,UKR,8.88,2ND Prize,. Women's Other Barehand Routines-Group D
MOVSHOVICH Shelly,ISR,8.86,3RD Prize,. Women's Other Barehand Routines-Group D
DOS SANTOS DE ARAÚJO Raquel,BRA,8.84,3RD Prize,. Women's Other Barehand Routines-Group D
NASCIMENTO CELESTINO GUERREIRO Suelen Cristina,BRA,8.83,3RD Prize,. Women's Other Barehand Routines-Group D
LI Jinsong,CHN,8.83,3RD Prize,. Women's Other Barehand Routines-Group D
SIMON Viktoria,HUN,8.77,3RD Prize,. Women's Other Barehand Routines-Group D
JASMINE TAY Jing Xuan,MYS,8.75,3RD Prize,. Women's Other Barehand Routines-Group D
MALAHOVA Polina,LVA,8.74,3RD Prize,. Women's Other Barehand Routines-Group D
TASHMATOVA Aisalkyn,KGZ,8.6,3RD Prize,. Women's Other Barehand Routines-Group D
GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria,PRT,8.5,,. Women's Other Barehand Routines-Group D
DU PLESSIS Nerine,ZAF,8.46,,. Women's Other Barehand Routines-Group D
NGUYEN Thi Thao Nguyen,VNM,8.43,,. Women's Other Barehand Routines-Group D
JACOBS Shannon Stephanie,ZAF,8.42,,. Women's Other Barehand Routines-Group D
GORDON Ayla Nunnehi,USA,8.32,,. Women's Other Barehand Routines-Group D
Ashleigh Nicola Jade WYKES,GBR,8.32,,. Women's Other Barehand Routines-Group D
DAUNDASEKARA MUDIYANSELAGE Sachari Lanka,LKA,8.29,,. Women's Other Barehand Routines-Group D
OBEANU Mara Georgia Alina,ROU,8.22,,. Women's Other Barehand Routines-Group D
VALAGKOUTI Iro Athina,GRC,8.02,,. Women's Other Barehand Routines-Group D
AMADE GONCALVES Cheila,PRT,7.82,,. Women's Other Barehand Routines-Group D
LE Gia Han,VNM,(DNS),,. Women's Other Barehand Routines-Group D
KEN Rui Xin,SGP,(DNS),,. Women's Other Barehand Routines-Group D
YAZYKOVA Maryna,UKR,(DNS),,. Women's Other Barehand Routines-Group D
HAN Junxia,CHN,8.85,1ST Prize,. Women's Other Barehand Routines-Group E/F
Michele Maki NAKASONE,GBR,8.79,1ST Prize,. Women's Other Barehand Routines-Group E/F
AMIDANI SOARES DE AZEVEDO Paula,BRA,8.76,1ST Prize,. Women's Other Barehand Routines-Group E/F
HUANG Yi,CHN,8.7,1ST Prize,. Women's Other Barehand Routines-Group E/F
ENGEL Beata,POL,8.66,2ND Prize,. Women's Other Barehand Routines-Group E/F
ROMERO Sabine,FRA,8.62,2ND Prize,. Women's Other Barehand Routines-Group E/F
KOKKINAKI Anna,GRC,8.61,2ND Prize,. Women's Other Barehand Routines-Group E/F
MATOS COSTA Mafalda,PRT,8.6,2ND Prize,. Women's Other Barehand Routines-Group E/F
ARUTYUNJAN Maria,HUN,8.6,3RD Prize,. Women's Other Barehand Routines-Group E/F
GAO Lin,USA,8.59,3RD Prize,. Women's Other Barehand Routines-Group E/F
MAK Angela Jia Li,AUS,8.57,3RD Prize,. Women's Other Barehand Routines-Group E/F
RAMOS CANDEIAS Irene Regina,PRT,8.5,3RD Prize,. Women's Other Barehand Routines-Group E/F
SERIAKOVA Liubov,KGZ,8.48,3RD Prize,. Women's Other Barehand Routines-Group E/F
ROVIRA-ALVAREZ Carmen Margarita,USA,8.47,3RD Prize,. Women's Other Barehand Routines-Group E/F
PAK Tatiana,KGZ,8.45,,. Women's Other Barehand Routines-Group E/F
KONSTANTINOU Maria,GRC,8.41,,. Women's Other Barehand Routines-Group E/F
NESHCHERET Natalia,KGZ,8.4,,. Women's Other Barehand Routines-Group E/F
KAZAKOVA Elena,LVA,8.35,,. Women's Other Barehand Routines-Group E/F
PAPADOPOULOU Elisavet,GRC,8.3,,. Women's Other Barehand Routines-Group E/F
HERMANS Rosemary,AUS,8.27,,. Women's Other Barehand Routines-Group E/F
TRAN CONG Francine,FRA,(DNS),,. Women's Other Barehand Routines-Group E/F
ROMANO CARDOSO SILVESTRE Nina,BRA,(DNS),,. Women's Other Barehand Routines-Group E/F
MUKHAMETOV Alizhan,KAZ,8.9,1ST Prize,. Men's Dao (Broadsword)-Group C
GERMANOZASHVILI Giorgi,GEO,8.71,1ST Prize,. Men's Dao (Broadsword)-Group C
DE OLIVEIRA PICONE Arthur,BRA,8.7,2ND Prize,. Men's Dao (Broadsword)-Group C
IFARGAN Yuval,ISR,8.68,2ND Prize,. Men's Dao (Broadsword)-Group C
BOROOAH Arhaan,IND,8.66,2ND Prize,. Men's Dao (Broadsword)-Group C
GALVANINE WILLE Heitor,BRA,8.65,3RD Prize,. Men's Dao (Broadsword)-Group C
HUSAK Lukas,CZE,8.63,3RD Prize,. Men's Dao (Broadsword)-Group C
RIVAS RODRIGUEZ Humberto,MEX,8.62,3RD Prize,. Men's Dao (Broadsword)-Group C
TULEYEV Aldiyar,KAZ,8.59,3RD Prize,. Men's Dao (Broadsword)-Group C
TASOPOULOS Ioannis,GRC,8.54,3RD Prize,. Men's Dao (Broadsword)-Group C
KREMMYDAS Panagiotis,GRC,8.5,,. Men's Dao (Broadsword)-Group C
DAYARATHNE Thalagahamula Gedara Kavindu Sahan,LKA,8.5,,. Men's Dao (Broadsword)-Group C
PUZIS Kiril,ISR,8.45,,. Men's Dao (Broadsword)-Group C
PAPATHANASIOU Theodoros Marios,GRC,8.44,,. Men's Dao (Broadsword)-Group C
BERRY Jake Anthony,ZAF,8.17,,. Men's Dao (Broadsword)-Group C
CHEN Charlie Samuel,USA,8.13,,. Men's Dao (Broadsword)-Group C
ADHIKARI MUDIYANSELAGE Keshan Adhikari,LKA,8.13,,. Men's Dao (Broadsword)-Group C
MALEYEV Kirill,KAZ,9.05,1ST Prize,. Men's Gun (Cudgel/Sta?)-Group C
KOUPSTAS Iliya,ISR,8.9,1ST Prize,. Men's Gun (Cudgel/Sta?)-Group C
YOUSSEF OSAMA Abdelhalim Elsaeed,EGY,8.89,1ST Prize,. Men's Gun (Cudgel/Sta?)-Group C
SRNEC Dominik Ramil,SVK,8.87,2ND Prize,. Men's Gun (Cudgel/Sta?)-Group C
KORENC Karel,CZE,8.82,2ND Prize,. Men's Gun (Cudgel/Sta?)-Group C
BRAYTON Marshall Tsan-Wei,USA,8.81,2ND Prize,. Men's Gun (Cudgel/Sta?)-Group C
BROUSALIS Panagiotis,GRC,8.8,2ND Prize,. Men's Gun (Cudgel/Sta?)-Group C
AMMAR MOHAMED Ibrahim Ismail,EGY,8.79,2ND Prize,. Men's Gun (Cudgel/Sta?)-Group C
MARCHESI Giorgio,ITA,8.75,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
SPIRO Oliver Sheldon,USA,8.72,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
EDILASHVILI Saba,GEO,8.7,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
BAI Jiwei,CAN,8.63,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
EL MABROUK Rafed,TUN,8.62,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
MOHAMED ELAGAMI Abdalla Rashad,EGY,8.62,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
DA GAMA BARJA David,PRT,8.58,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
MENEZ ALARCON Arhat,MEX,8.5,3RD Prize,. Men's Gun (Cudgel/Sta?)-Group C
ZHANG Jayden Tianyi,CAN,8.5,,. Men's Gun (Cudgel/Sta?)-Group C
DE CIMA FERNANDES Edgar,PRT,8.47,,. Men's Gun (Cudgel/Sta?)-Group C
NUTSUBIDZE Nikolozi,GEO,8.43,,. Men's Gun (Cudgel/Sta?)-Group C
NEDELEA Andrei Mario,ROU,8.42,,. Men's Gun (Cudgel/Sta?)-Group C
SOTHERN Rhyse Kegan,ZAF,8.42,,. Men's Gun (Cudgel/Sta?)-Group C
TRAIZE Miron,KAZ,8.36,,. Men's Gun (Cudgel/Sta?)-Group C
RAINERS Andzans,LVA,8.26,,. Men's Gun (Cudgel/Sta?)-Group C
GUNATUNGA Sapukotanage Maneetha Charanaravinda,LKA,8.2,,. Men's Gun (Cudgel/Sta?)-Group C
MGQIBISA Luvuyolwethu Sphesihle,ZAF,8.02,,. Men's Gun (Cudgel/Sta?)-Group C
MALAK MOHAMED Omar Montasser,EGY,(DNS),,. Men's Gun (Cudgel/Sta?)-Group C
MUSTAFIN Nurlan,KAZ,8.8,1ST Prize,. Men's Jian (Straight Sword)- Group C
WAIBLINGER Adrian Hou,USA,8.79,2ND Prize,. Men's Jian (Straight Sword)- Group C
LIU Dominik Xinyang,GBR,8.75,3RD Prize,. Men's Jian (Straight Sword)- Group C
MARCEL Gavin Julian,USA,8.66,3RD Prize,. Men's Jian (Straight Sword)- Group C
PUZIS Timur,ISR,8.65,,. Men's Jian (Straight Sword)- Group C
ROMANO CARDOSO SILVESTRE Nina,BRA,8.72,,. Women's Other Nanquan Routines-Group E
ROMERO Sabine,FRA,(DNS),,. Women's Other Nanquan Routines-Group E
HERMANS Rosemary,AUS,(DNS),,. Women's Other Nanquan Routines-Group E
KOKKINAKI Anna,GRC,(DNS),,. Women's Other Nanquan Routines-Group E
MATOS COSTA Mafalda,PRT,(DNS),,. Women's Other Nanquan Routines-Group E
ROVIRA-ALVAREZ Carmen Margarita,USA,(DNS),,. Women's Other Nanquan Routines-Group E
ZWAAL Jan Joris,NLD,8.46,1ST Prize,. Men's Shaolinquan-Group B
FRENKEL David,ISR,8.43,2ND Prize,. Men's Shaolinquan-Group B
HUANACUNI PINEDO Huaskar Soriam,BOL,8.41,3RD Prize,. Men's Shaolinquan-Group B
MOHAMED IBRAHIM Mohamed Mokhtar,EGY,8.4,,. Men's Shaolinquan-Group B
LEON RAZNATOVIC Darko Alejandro,BOL,(DNS),,. Men's Shaolinquan-Group B
DONG Dennis Bokui,USA,8.57,1ST Prize,. Men's Other Barehand Routines -Group A/B
CHAN Fengze,MAC,8.51,1ST Prize,. Men's Other Barehand Routines -Group A/B
HE Dragon,USA,8.5,2ND Prize,. Men's Other Barehand Routines -Group A/B
