"","X","Team","Athlete","Score","Sex","Group","Form"
"113",113,"SRI","Naveen Lakshan Madusanka HERATH JAYASUNDARALAGE",8.27,"M","Group C","Baji Quan"
"114",114,"SRI","Senith Dilmith Yasanayaka WALPITA GAMAGE",8.26,"M","Group C","Baji Quan"
"115",115,"USA","Alex Mushan ZHANG",8.52,"M","Group C","Cha Quan"
"116",116,"GEO","Luka KHUTIASHVILI",8.51,"M","Group C","Cha Quan"
"117",117,"USA","Ryan GALLAGHER",8.49,"M","Group C","Cha Quan"
"118",118,"USA","Randall ROSS",8.48,"M","Group C","Cha Quan"
"119",119,"USA","Benny LAM",8.48,"M","Group C","Cha Quan"
"120",120,"USA","Ollie LIANG",8.47,"M","Group C","Cha Quan"
"121",121,"ITA","Luca CASAGRANDE",8.47,"M","Group C","Cha Quan"
"122",122,"SVK","Patrik HATALA",8.45,"M","Group C","Cha Quan"
"123",123,"TPE","Yu Yu LIN",8.44,"M","Group C","Cha Quan"
"124",124,"GEO","Guram PIRTSKHALAVA",8.43,"M","Group C","Cha Quan"
"125",125,"USA","Jason CHEN",8.4,"M","Group C","Cha Quan"
"126",126,"USA","Alex LIU",8.4,"M","Group C","Cha Quan"
"127",127,"USA","Jackson GALLAGHER",8.4,"M","Group C","Cha Quan"
"128",128,"USA","Brandon LEE",8.39,"M","Group C","Cha Quan"
"129",129,"SRI","Sandun Sulochana PADUKKA VIDANELAGE",8.38,"M","Group C","Cha Quan"
"130",130,"IND","Yogakarthikeyan NARAYANAN",8.37,"M","Group C","Cha Quan"
"131",131,"USA","Ivan WANG",8.27,"M","Group C","Cha Quan"
"132",132,"IND","Velayutham THARMAR",7.91,"M","Group C","Cha Quan"
"133",133,"IND","Davnam Parth .",7.87,"M","Group C","Cha Quan"
"134",134,"USA","Bailey GONG",8.93,"M","Group C","Dao (Broadsword)"
"135",135,"USA","Austin SHAW",8.86,"M","Group C","Dao (Broadsword)"
"136",136,"IND","Yogakarthikeyan NARAYANAN",8.85,"M","Group C","Dao (Broadsword)"
"137",137,"HUN","Roland Akos OLAH",8.8,"M","Group C","Dao (Broadsword)"
"138",138,"MAS","Ye Jack LIM",8.77,"M","Group C","Dao (Broadsword)"
"139",139,"GER","Jean Michel MERTEN",8.74,"M","Group C","Dao (Broadsword)"
"140",140,"USA","Brandon TENG",8.73,"M","Group C","Dao (Broadsword)"
"141",141,"ITA","Vittorio GELMI",8.72,"M","Group C","Dao (Broadsword)"
"142",142,"MAS","Shun Jed LUI",8.7,"M","Group C","Dao (Broadsword)"
"143",143,"USA","Jason CHEN",8.69,"M","Group C","Dao (Broadsword)"
"144",144,"GRE","Ioannis POLYZOS",8.68,"M","Group C","Dao (Broadsword)"
"145",145,"ITA","Simone RULLO",8.67,"M","Group C","Dao (Broadsword)"
"146",146,"GRE","Alexandros TSOUKIAS",8.62,"M","Group C","Dao (Broadsword)"
"147",147,"USA","Ashton WU",8.58,"M","Group C","Dao (Broadsword)"
"148",148,"TPE","Yu Yu LIN",8.57,"M","Group C","Dao (Broadsword)"
"149",149,"SRI","Deneth Sankalpa Ranthilaka CHINAGAHA KUBURE GEDARA",8.53,"M","Group C","Dao (Broadsword)"
"150",150,"USA","Eric HOU",8.5,"M","Group C","Dao (Broadsword)"
"151",151,"SRI","Senith Dilmith Yasanayaka WALPITA GAMAGE",8.48,"M","Group C","Dao (Broadsword)"
"152",152,"SRI","Naveen Lakshan Madusanka HERATH JAYASUNDARALAGE",8.43,"M","Group C","Dao (Broadsword)"
"153",153,"SRI","Yasintha Randunu Karunarathna GAMAGE MUDIYANSELAGE",8.4,"M","Group C","Dao (Broadsword)"
"154",154,"CHI","Benjamin Ignacio HENRIQUEZ SERRANO",8.38,"M","Group C","Dao (Broadsword)"
"155",155,"TUN","Jihed BELLOUMI",NA,"M","Group C","Dao (Broadsword)"
"156",156,"TJK","Salikhov Saddam",NA,"M","Group C","Dao (Broadsword)"
"157",157,"PER","Jan Franco VASQUEZ LEVANO",8.64,"M","Group C","Ditang Quan"
"158",158,"USA","Nathan LY",8.61,"M","Group C","Ditang Quan"
"159",159,"USA","Shaun CHEN",8.58,"M","Group C","Ditang Quan"
"160",160,"USA","Ashton YIM",8.55,"M","Group C","Ditang Quan"
"161",161,"ALG","Mahmoudi MOHAMED",8.47,"M","Group C","Ditang Quan"
"162",162,"USA","Luke TIAN",8.37,"M","Group C","Ditang Quan"
"163",163,"TJK","Saidqosim SAIDOLIMOV",8.32,"M","Group C","Ditang Quan"
"164",164,"USA","Ethan ZHU",8.03,"M","Group C","Ditang Quan"
"165",165,"TUN","Ahmed ESSID",8.67,"M","Group C","Gun (Cudgel/Staff)"
"166",166,"GRE","Nikolaos NISIOTIS",8.66,"M","Group C","Gun (Cudgel/Staff)"
"167",167,"ITA","William BADAS",8.65,"M","Group C","Gun (Cudgel/Staff)"
"168",168,"USA","William VO",8.65,"M","Group C","Gun (Cudgel/Staff)"
"169",169,"USA","Jeffrey CHENG",8.63,"M","Group C","Gun (Cudgel/Staff)"
"170",170,"USA","Siddharth MANE",8.58,"M","Group C","Gun (Cudgel/Staff)"
"171",171,"MAS","Yu Wen WONG",8.57,"M","Group C","Gun (Cudgel/Staff)"
"172",172,"USA","Vincent XU",8.56,"M","Group C","Gun (Cudgel/Staff)"
"173",173,"SRI","Sandun Sulochana PADUKKA VIDANELAGE",8.53,"M","Group C","Gun (Cudgel/Staff)"
"174",174,"USA","Allen WU",8.45,"M","Group C","Gun (Cudgel/Staff)"
"175",175,"USA","Jason WONG",8.45,"M","Group C","Gun (Cudgel/Staff)"
"176",176,"USA","Neo CHANG",8.43,"M","Group C","Gun (Cudgel/Staff)"
"177",177,"USA","Vincent HUANG",8.41,"M","Group C","Gun (Cudgel/Staff)"
"178",178,"GRE","Ioannis POLYZOS",NA,"M","Group C","Gun (Cudgel/Staff)"
"179",179,"MAS","Shun Jed LUI",8.6,"M","Group C","Hua Quan"
"180",180,"USA","Bailey GONG",8.56,"M","Group C","Hua Quan"
"181",181,"USA","Jason WONG",8.46,"M","Group C","Hua Quan"
"182",182,"USA","Vincent HUANG",8.42,"M","Group C","Hua Quan"
"183",183,"USA","Thomas HOU",8.38,"M","Group C","Hua Quan"
"184",184,"MAS","Zer Xuan KOW",8.34,"M","Group C","Hua Quan"
"185",185,"USA","Robert CUNNINGHAM",8.32,"M","Group C","Hua Quan"
"186",186,"USA","Eric HOU",8.31,"M","Group C","Hua Quan"
"187",187,"SRI","Nethum Dulavin De Silva WARDANA",8.22,"M","Group C","Hua Quan"
"188",188,"USA","Alex CAO",8.67,"M","Group C","Imitation Eagle Style"
"189",189,"USA","Lianhao LI",8.55,"M","Group C","Imitation Eagle Style"
"190",190,"USA","Bryan GAO",8.48,"M","Group C","Imitation Eagle Style"
"191",191,"USA","Nick MADSEN",8.45,"M","Group C","Imitation Eagle Style"
"192",192,"USA","Jeffrey CHENG",8.32,"M","Group C","Imitation Eagle Style"
"193",193,"SRI","Sahan Kavinda NANAYAKKARA HEWA GURULUTHUDUWAGE",8.29,"M","Group C","Imitation Eagle Style"
"194",194,"UKR","Oleksii KOLISNYK",8.56,"M","Group C","Imitation Eagle Style"
"195",195,"USA","Alec ZHANG",8.59,"M","Group C","Imitation Other Styles"
"196",196,"GER","Jean Michel MERTEN",8.51,"M","Group C","Imitation Other Styles"
"197",197,"USA","Andre MAGNUM",8.5,"M","Group C","Imitation Other Styles"
"198",198,"EGY","Kareem shoheib",8.48,"M","Group C","Imitation Other Styles"
"199",199,"USA","Oliver SPIRO",8.46,"M","Group C","Imitation Other Styles"
"200",200,"USA","Benjamin WRINN",8.42,"M","Group C","Imitation Other Styles"
"201",201,"USA","Alan MAYER",8.4,"M","Group C","Imitation Other Styles"
"202",202,"SGP","Neo Gao En NEO",8.38,"M","Group C","Imitation Other Styles"
"203",203,"SRI","Dulara Sandun Senevirathna WALADANA ARACHCHILAGE",8.37,"M","Group C","Imitation Other Styles"
"204",204,"USA","Kevin YANG",8.3,"M","Group C","Imitation Other Styles"
"205",205,"USA","Jack AQUI",NA,"M","Group C","Imitation Other Styles"
"206",206,"USA","Joseph WANG",8.54,"M","Group C","Imitation Tang Lang Styles"
"207",207,"ITA","Vittorio GELMI",8.47,"M","Group C","Imitation Tang Lang Styles"
"208",208,"USA","Matthew WANG",8.46,"M","Group C","Imitation Tang Lang Styles"
"209",209,"ITA","Simone Gennaro MAIORANO",8.45,"M","Group C","Imitation Tang Lang Styles"
"210",210,"AUS","Aaron KUOK",8.37,"M","Group C","Imitation Tang Lang Styles"
"211",211,"ITA","Joao Paulo PETITO",NA,"M","Group C","Imitation Tang Lang Styles"
"212",212,"SVK","Patrik HATALA",8.92,"M","Group C","Jian (Straight Sword)"
"213",213,"USA","Alex Mushan ZHANG",8.82,"M","Group C","Jian (Straight Sword)"
"214",214,"USA","Aspen SHEN",8.78,"M","Group C","Jian (Straight Sword)"
"215",215,"USA","Mason Tsan-ming BRAYTON",8.77,"M","Group C","Jian (Straight Sword)"
"216",216,"GER","Alexander TOROPOV",8.68,"M","Group C","Jian (Straight Sword)"
"217",217,"KAZ","Daniil ORAILO",8.66,"M","Group C","Jian (Straight Sword)"
"218",218,"USA","Luke ZHOU",8.64,"M","Group C","Jian (Straight Sword)"
"219",219,"ITA","Simone Gennaro MAIORANO",8.63,"M","Group C","Jian (Straight Sword)"
"220",220,"TJK","Saidqosim SAIDOLIMOV",8.61,"M","Group C","Jian (Straight Sword)"
"221",221,"USA","Justin SU",8.57,"M","Group C","Jian (Straight Sword)"
"222",222,"USA","Gavin ZHAO",8.51,"M","Group C","Jian (Straight Sword)"
"223",223,"USA","Robert CUNNINGHAM",8.5,"M","Group C","Jian (Straight Sword)"
"224",224,"IND","Velayutham THARMAR",7.89,"M","Group C","Jian (Straight Sword)"
"225",225,"GEO","Rauli MAMEDOVI",8.55,"M","Group C","Nan Dao (Southern Broadsword)"
"226",226,"USA","Allen ZHAO",8.48,"M","Group C","Nan Dao (Southern Broadsword)"
"227",227,"GEO","Giorgi GERMANOZASVILI",8.44,"M","Group C","Nan Dao (Southern Broadsword)"
"228",228,"SRI","Dihen Vindiw TIKIRA HENNADIGE",8.4,"M","Group C","Nan Dao (Southern Broadsword)"
"229",229,"SRI","Keshara Vikum Senevirathna EDIRIWEERA PATHIRANAGE",8.36,"M","Group C","Nan Dao (Southern Broadsword)"
"230",230,"SRI","Asith Pasandul Paranavithana SAMARARARATHNA MUHANDIRAMGE",8.35,"M","Group C","Nan Dao (Southern Broadsword)"
"231",231,"PAK","Muhammad DAWOOD",NA,"M","Group C","Nan Dao (Southern Broadsword)"
"232",232,"SRI","Pathum Poorna VANCUYLENBERG",8.72,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"233",233,"SRI","Manuja Maneeka RATHNAYAKE",8.57,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"234",234,"USA","Miles LUU",8.51,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"235",235,"PER","Shandarie LOLI MORALES",8.5,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"236",236,"USA","Zheyu CHEN",8.48,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"237",237,"GRE","Dimitrios BARMPAGIANNIS",8.47,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"238",238,"SRI","Sahan Kavinda NANAYAKKARA HEWA GURULUTHUDUWAGE",8.46,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"239",239,"SRI","Kushan Prabod WICKCRAMA KURUPPU ARACHCHIGE",8.42,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"240",240,"SRI","Dulara Sandun Senevirathna WALADANA ARACHCHILAGE",8.38,"M","Group C","Nan Gun (Southern Staff/Cudgel)"
"241",241,"USA","Nathan CHOU",8.9,"M","Group C","Other Taijiquan"
"242",242,"USA","Reid LINDSAY",8.89,"M","Group C","Other Taijiquan"
"243",243,"EGY","Youssef KHALIL",8.84,"M","Group C","Other Taijiquan"
"244",244,"MAS","Zi Hong WONG",8.82,"M","Group C","Other Taijiquan"
"245",245,"USA","Michail Panchev TZANKOV",8.78,"M","Group C","Other Taijiquan"
"246",246,"USA","Zhaokai HE",8.75,"M","Group C","Other Taijiquan"
"247",247,"USA","Bailing HOU",8.72,"M","Group C","Other Taijiquan"
"248",248,"SRI","Chenura Supipun Dissanayake DISSANAYAKE MUDIYANSELAGE",8.7,"M","Group C","Other Taijiquan"
"249",249,"IND","Omkar Rhushikesh MODAK",8.66,"M","Group C","Other Taijiquan"
"250",250,"USA","Michael LI",8.63,"M","Group C","Other Taijiquan"
"251",251,"IND","Sahil Manzoor .",8.5,"M","Group C","Other Taijiquan"
"252",252,"USA","Lucas Ximing DU",8.39,"M","Group C","Other Taijiquan"
"253",253,"USA","Lianhao LI",8.79,"M","Group C","Other Traditional Double Weapon"
"254",254,"EGY","Marawan Atef Abdelmaksoud MEGHAWRY",8.76,"M","Group C","Other Traditional Double Weapon"
"255",255,"USA","Joseph WANG",8.75,"M","Group C","Other Traditional Double Weapon"
"256",256,"PER","Jan Franco VASQUEZ LEVANO",8.73,"M","Group C","Other Traditional Double Weapon"
"257",257,"USA","Justin WANG",8.72,"M","Group C","Other Traditional Double Weapon"
"258",258,"UKR","Oleksii KOLISNYK",8.69,"M","Group C","Other Traditional Double Weapon"
"259",259,"POL","Lukasz Mateusz MASLANKA",8.68,"M","Group C","Other Traditional Double Weapon"
"260",260,"USA","Banyan JULLIAN",8.67,"M","Group C","Other Traditional Double Weapon"
"261",261,"EGY","Kareem shoheib",8.62,"M","Group C","Other Traditional Double Weapon"
"262",262,"USA","Brandon LEE",8.54,"M","Group C","Other Traditional Double Weapon"
"263",263,"USA","Jack ROTHENFLUCH",8.52,"M","Group C","Other Traditional Double Weapon"
"264",264,"USA","Oliver SPIRO",8.47,"M","Group C","Other Traditional Double Weapon"
"265",265,"USA","Richard CHIN",8.47,"M","Group C","Other Traditional Double Weapon"
"266",266,"USA","Alan MAYER",8.4,"M","Group C","Other Traditional Double Weapon"
"267",267,"PER","Marco Aurelio CASTIGLIONE SANCHEZ",NA,"M","Group C","Other Traditional Double Weapon"
"268",268,"USA","Andre MAGNUM",8.75,"M","Group C","Other Traditional Single Weapon"
"269",269,"EGY","Mazen ABOUELKASEM",8.74,"M","Group C","Other Traditional Single Weapon"
"270",270,"USA","Benjamin ZHANG",8.7,"M","Group C","Other Traditional Single Weapon"
"271",271,"TPE","Yao Tso CHEN",8.64,"M","Group C","Other Traditional Single Weapon"
"272",272,"TPE","Yu Yu YANG",8.54,"M","Group C","Other Traditional Single Weapon"
"273",273,"USA","Alex LIU",8.53,"M","Group C","Other Traditional Single Weapon"
"274",274,"USA","Michael LI",8.52,"M","Group C","Other Traditional Single Weapon"
"275",275,"USA","Adrian WAIBLINGER",8.45,"M","Group C","Other Traditional Single Weapon"
"276",276,"SRI","Nethum Dulavin De Silva WARDANA",8.4,"M","Group C","Other Traditional Single Weapon"
"277",277,"USA","Lucas Ximing DU",8.37,"M","Group C","Other Traditional Single Weapon"
"278",278,"USA","Kevin YANG",8.35,"M","Group C","Other Traditional Single Weapon"
"279",279,"EGY","Mohamed AWAD",8.27,"M","Group C","Other Traditional Single Weapon"
"280",280,"USA","Ryan YEE",8.55,"M","Group C","Other Types of Traditional Styles"
"281",281,"MAS","Ye Jack LIM",8.54,"M","Group C","Other Types of Traditional Styles"
"282",282,"MAS","Yu Wen WONG",8.5,"M","Group C","Other Types of Traditional Styles"
"283",283,"EGY","Marawan Atef Abdelmaksoud MEGHAWRY",8.47,"M","Group C","Other Types of Traditional Styles"
"284",284,"USA","Justin WANG",8.47,"M","Group C","Other Types of Traditional Styles"
"285",285,"USA","Ziyue HE",8.45,"M","Group C","Other Types of Traditional Styles"
"286",286,"MAS","Mi Men TAN",8.44,"M","Group C","Other Types of Traditional Styles"
"287",287,"USA","Vearnest McClellan lll",8.41,"M","Group C","Other Types of Traditional Styles"
"288",288,"USA","Stephen LO",8.41,"M","Group C","Other Types of Traditional Styles"
"289",289,"USA","Luke ZHOU",8.4,"M","Group C","Other Types of Traditional Styles"
"290",290,"USA","Frank Wenhao WU",8.4,"M","Group C","Other Types of Traditional Styles"
"291",291,"USA","Joshua WANG",8.36,"M","Group C","Other Types of Traditional Styles"
"292",292,"SGP","Shannon Woo Hong Wei WOO",8.34,"M","Group C","Other Types of Traditional Styles"
"293",293,"GRE","Dimitrios BARMPAGIANNIS",8.32,"M","Group C","Other Types of Traditional Styles"
"294",294,"USA","Leon SONG",8.31,"M","Group C","Other Types of Traditional Styles"
"295",295,"USA","Ashton WU",8.31,"M","Group C","Other Types of Traditional Styles"
"296",296,"USA","Adrian WAIBLINGER",8.31,"M","Group C","Other Types of Traditional Styles"
"297",297,"EGY","Mohamed AWAD",8.27,"M","Group C","Other Types of Traditional Styles"
"298",298,"USA","Vincent XU",8.2,"M","Group C","Other Types of Traditional Styles"
"299",299,"SRI","Keshara Vikum Senevirathna EDIRIWEERA PATHIRANAGE",8.14,"M","Group C","Other Types of Traditional Styles"
"300",300,"USA","Allen WU",7.98,"M","Group C","Other Types of Traditional Styles"
"301",301,"TJK","Salikhov Saddam",NA,"M","Group C","Other Types of Traditional Styles"
"302",302,"TPE","Yu Hsien CHANG",9,"M","Group C","P Dao(Kwan Dao)"
"303",303,"USA","Samuel WANG",8.99,"M","Group C","P Dao(Kwan Dao)"
"304",304,"USA","Kenny LIANG",8.89,"M","Group C","P Dao(Kwan Dao)"
"305",305,"TUR","Necmettin Erbakan AKYUZ",8.88,"M","Group C","P Dao(Kwan Dao)"
"306",306,"EGY","Mohamed Osama Abdelsalam ELAZAB",8.86,"M","Group C","P Dao(Kwan Dao)"
"307",307,"FRA","Casey CALABER",8.85,"M","Group C","P Dao(Kwan Dao)"
"308",308,"CZE","Karel KORENC",8.84,"M","Group C","P Dao(Kwan Dao)"
"309",309,"USA","Jason LUO",8.82,"M","Group C","P Dao(Kwan Dao)"
