Team,Athlete,Score,Remark,Form
AUS,Sherman Shu Hang Mak,9.1,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
JPN,KOURIN JO,9.1,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
JPN,YASUYOSHI KAMIYOSHI,9.09,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
JPN,HITOSHI SHINAGAWA,9.08,2nd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
ITA,Giuseppe PATERNITI,9.05,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
RUS,Eduard KURCHENKO,9,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
RUS,Edgar TOBUKOV,9,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
GEO,LASHA SUMBULASHVILI,8.99,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
RUS,Vasily SAMSONOV,8.99,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
HKG,LAW Wah Tak,8.99,3rd Category Prize,International Men's Group D Traditional Chen Style Taijiquan
GER,Ruediger Gruetz,8.94,,International Men's Group D Traditional Chen Style Taijiquan
JPN,MITSUAKI HIGO,8.92,,International Men's Group D Traditional Chen Style Taijiquan
USA,Quang UONG,8.9,,International Men's Group D Traditional Chen Style Taijiquan
AUS,Desmond Chung,8.9,,International Men's Group D Traditional Chen Style Taijiquan
USA,Sze Yen LIN,8.82,,International Men's Group D Traditional Chen Style Taijiquan
USA,Qiyue ZHANG,8.78,,International Men's Group D Traditional Chen Style Taijiquan
JPN,KAZUKO YONEMOTO,9.1,1st Category Prize,International Women's Group E Traditional Chen Style Taijiquan
JPN,MICHIKO KAMATA,9,1st Category Prize,International Women's Group E Traditional Chen Style Taijiquan
JPN,HIROMI TAKAHASHI,8.99,2nd Category Prize,International Women's Group E Traditional Chen Style Taijiquan
MAC,WONG WA MUI,8.98,2nd Category Prize,International Women's Group E Traditional Chen Style Taijiquan
USA,Yoshiko ROUDPEYMA,8.92,3rd Category Prize,International Women's Group E Traditional Chen Style Taijiquan
RSA,Candace Jane MC CARDLE,8.88,3rd Category Prize,International Women's Group E Traditional Chen Style Taijiquan
USA,Kathleen SIDENBLAD,8.83,3rd Category Prize,International Women's Group E Traditional Chen Style Taijiquan
USA,Lisa CHEUNG,8.82,,International Women's Group E Traditional Chen Style Taijiquan
USA,Oi Lai YAM,8.79,,International Women's Group E Traditional Chen Style Taijiquan
HKG,TAN Jiayi,8.95,1st Category Prize,International Women's Group B Traditional Yang Style Taijiquan
EGY,Sara Salah Mohamed Ahmed,8.83,2nd Category Prize,International Women's Group B Traditional Yang Style Taijiquan
EGY,Nour Mohamed Ibrahim Mohamed,8.8,3rd Category Prize,International Women's Group B Traditional Yang Style Taijiquan
USA,Audrey YUNG,8.7,3rd Category Prize,International Women's Group B Traditional Yang Style Taijiquan
ITA,Eleonora MOCCI,8.66,,International Women's Group B Traditional Yang Style Taijiquan
IRI,zahra rouhi,8.58,,International Women's Group B Traditional Yang Style Taijiquan
FRA,TROLEZ Camille,8.53,,International Women's Group B Traditional Yang Style Taijiquan
HKG,WONG Wing Yan Josephine,9.06,1st Category Prize,International Women's Group C Traditional Yang Style Taijiquan
EGY,Salma Salah Mohamed Ahmed,9.02,1st Category Prize,International Women's Group C Traditional Yang Style Taijiquan
ROU,Apostolache Kiss Andrea,9.01,2nd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
MAC,IAO HOI MAN,9,2nd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
HKG,YEUNG Debbie,8.97,2nd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
ROU,Grindeanu Sonia,8.95,3rd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
KAZ,Sanatkyzy Anel,8.91,3rd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
UKR,Hanna Mandrik,8.86,3rd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
COL,MONICA CRUZ SANCHEZ,8.85,3rd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
JPN,TOMOKO KATO,8.81,3rd Category Prize,International Women's Group C Traditional Yang Style Taijiquan
ITA,Alessia POMES,8.79,,International Women's Group C Traditional Yang Style Taijiquan
ITA,Valentina FERRU,8.79,,International Women's Group C Traditional Yang Style Taijiquan
ESP,ALBA NINO GONZALEZ,8.75,,International Women's Group C Traditional Yang Style Taijiquan
MEX,Pamela GUILLEN,8.74,,International Women's Group C Traditional Yang Style Taijiquan
FRA,GHOREISHI Shohreh,8.71,,International Women's Group C Traditional Yang Style Taijiquan
BRA,Lenise Varanda CEZARETTO,8.66,,International Women's Group C Traditional Yang Style Taijiquan
BOL,Maya Huanacuni Baldivieso,8.56,,International Women's Group C Traditional Yang Style Taijiquan
HKG,YEUNG Chung Hei,9.06,1st Category Prize,International Men's Group C Traditional Yang Style Taijiquan
KAZ,Yedilbayev Askarbay,8.99,2nd Category Prize,International Men's Group C Traditional Yang Style Taijiquan
ITA,Simone MANGIANTE,8.96,2nd Category Prize,International Men's Group C Traditional Yang Style Taijiquan
RUS,Vasilii KISLITCYN,8.94,3rd Category Prize,International Men's Group C Traditional Yang Style Taijiquan
AUS,Mitchell Brown,8.92,3rd Category Prize,International Men's Group C Traditional Yang Style Taijiquan
MAC,WONG IOK LAM,8.89,3rd Category Prize,International Men's Group C Traditional Yang Style Taijiquan
AUS,Gerard Donohoe,8.86,,International Men's Group C Traditional Yang Style Taijiquan
HKG,SO King Ho,8.8,,International Men's Group C Traditional Yang Style Taijiquan
IRI,shahriar ghasemipour nikbin,8.79,,International Men's Group C Traditional Yang Style Taijiquan
FRA,REYNIER Martin,8.73,,International Men's Group C Traditional Yang Style Taijiquan
KUW,Fahd A ALAJMI,8.72,,International Men's Group C Traditional Yang Style Taijiquan
USA,Xue Ming HUIE,9.2,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan
KGZ,Natalia NESHCHERET,9.1,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan
USA,Haojie WU,9.01,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,SENG Choa Ee Tricia,8.98,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,LAU Sum Wing,8.98,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,CHENG Hsueh Chih,8.94,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,NG Kit Yee,8.93,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,LI So Ling Christina,8.91,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,PANG Yuk Mui,8.9,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
USA,Shiqiong Susan YOUNG,8.9,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
ROU,Vladut Roxana Ileana,8.86,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,YAN Hiu Kwan,8.85,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
AUS,Sally Yanhui Lin,8.85,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
AUS,May Gao,8.83,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,YOO Hwa Soo,8.82,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,CHAN Yuen Kwan,8.82,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
MAC,WONG WUN U,8.82,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,YUNG Sin Yee Cynthia,8.81,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
AUS,Cheryl Sam Toi,8.81,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
NZL,Diana Kam Yoke Lau,8.8,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
JPN,CHIAKI MARUOKA,8.79,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
RUS,Tatiana IUREVA,8.79,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,LAU Kit Ming Tammy,8.78,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,LEUNG Yuen Nga Barbara,8.78,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan
HKG,KONG Yee Wan,8.77,,International Women's Group D Traditional Yang Style Taijiquan
AUS,Angela Jia Li Mak,8.77,,International Women's Group D Traditional Yang Style Taijiquan
POL,Ewa Mechelewska,8.76,,International Women's Group D Traditional Yang Style Taijiquan
HKG,NG Lai Ling Maggie,8.75,,International Women's Group D Traditional Yang Style Taijiquan
HKG,CHOW Wan Ming Mary,8.74,,International Women's Group D Traditional Yang Style Taijiquan
HKG,CHIH Ellen,8.74,,International Women's Group D Traditional Yang Style Taijiquan
HKG,NG Shiow Lan Liza,8.72,,International Women's Group D Traditional Yang Style Taijiquan
HKG,BALEROS Henriette Patricia,8.71,,International Women's Group D Traditional Yang Style Taijiquan
HKG,CHAN Sau Lan Cecilia,8.71,,International Women's Group D Traditional Yang Style Taijiquan
RSA,Catharina Louisa Riana VAN COLLER,8.7,,International Women's Group D Traditional Yang Style Taijiquan
JPN,YASUYO ATSUMI,8.7,,International Women's Group D Traditional Yang Style Taijiquan
USA,Weihua JIANG,8.68,,International Women's Group D Traditional Yang Style Taijiquan
IRI,soad kaheni,8.66,,International Women's Group D Traditional Yang Style Taijiquan
AUS,Rebecca Pui Ting Ho,8.65,,International Women's Group D Traditional Yang Style Taijiquan
BOL,Cecilia Pinedo Soruco,8.64,,International Women's Group D Traditional Yang Style Taijiquan
HKG,CHEUNG Yat Wah Carol,8.64,,International Women's Group D Traditional Yang Style Taijiquan
CHN,HUI HETONG,9.27,1st Category Prize,International Men's Group D Traditional Yang Style Taijiquan
GER,Eric Jonischkeit,9.12,1st Category Prize,International Men's Group D Traditional Yang Style Taijiquan
NZL,David John Thew,9.11,2nd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
EGY,Mohamed Kamel Abdelhady Saad,9.02,2nd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
EGY,Hassan khalifa Zayed Mahmoud,9.01,2nd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
ESP,ELOY ALBERTO NINO ORTEGA,8.87,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
RUS,Sergey POPOV,8.85,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
BRA,Marcio Luiz ZAQUEU,8.85,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
AUS,Samuel Man,8.84,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
HKG,TIK Hoffman Ho Kit,8.84,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan
HKG,MOK Kim Tong,8.83,,International Men's Group D Traditional Yang Style Taijiquan
BRA,Hemerson Carvalho de OLIVEIRA,8.81,,International Men's Group D Traditional Yang Style Taijiquan
POL,Piotr Miaskiewicz,8.81,,International Men's Group D Traditional Yang Style Taijiquan
IRI,mahdi ramezanzadeh,8.79,,International Men's Group D Traditional Yang Style Taijiquan
HKG,LAU King Yuen,8.76,,International Men's Group D Traditional Yang Style Taijiquan
HKG,TSANG Kwong Choi,8.74,,International Men's Group D Traditional Yang Style Taijiquan
FRA,KLINGER Michael,8.63,,International Men's Group D Traditional Yang Style Taijiquan
USA,Qijing YUE,9.18,1st Category Prize,International Women's Group E Traditional Yang Style Taijiquan
JPN,SACHIKO YAGYU,9.1,2nd Category Prize,International Women's Group E Traditional Yang Style Taijiquan
NZL,Satomi Taylor,9.08,3rd Category Prize,International Women's Group E Traditional Yang Style Taijiquan
AUS,Janice Zurzolo,8.92,3rd Category Prize,International Women's Group E Traditional Yang Style Taijiquan
JPN,MASUYO SHIMIZU,8.91,,International Women's Group E Traditional Yang Style Taijiquan
USA,Dorothy HSIAO,8.9,,International Women's Group E Traditional Yang Style Taijiquan
HKG,WONG Suk Kuen,8.88,,International Women's Group E Traditional Yang Style Taijiquan
EGY,Amir Elsayed Meabd Abdeltwab,9.1,1st Category Prize,International Men's Group C Xingyi Quan
RUS,Oleg KHANDESHIN,9.06,2nd Category Prize,International Men's Group C Xingyi Quan
AUS,Corey Johnstone,8.93,2nd Category Prize,International Men's Group C Xingyi Quan
RSA,Alexander Dirk DU PLESSIS,8.91,3rd Category Prize,International Men's Group C Xingyi Quan
TUN,mohamed dadda,8.73,3rd Category Prize,International Men's Group C Xingyi Quan
YEM,SADDAM HUSSEIN AL-RAHOMI,8.71,,International Men's Group C Xingyi Quan
RSA,Thor VAN DER MESCHT,8.7,,International Men's Group C Xingyi Quan
RSA,Khayelihle Goodenough JALI,8.53,,International Men's Group C Xingyi Quan
CHN,XIONG YABING,9.23,1st Category Prize,International Men's Group D Xingyi Quan
BRA,Krishna Ramos RAZA,8.86,2nd Category Prize,International Men's Group D Xingyi Quan
BRA,Sergio TANOSHI,8.8,2nd Category Prize,International Men's Group D Xingyi Quan
RUS,Mikhail NATURALNYY,8.67,3rd Category Prize,International Men's Group D Xingyi Quan
RUS,Andrey NOVOSELOV,8.66,3rd Category Prize,International Men's Group D Xingyi Quan
USA,Ning WU,8.6,3rd Category Prize,International Men's Group D Xingyi Quan
SUI,Alexandre Yvan MATHYS,8.6,3rd Category Prize,International Men's Group D Xingyi Quan
IRI,hassan ghasemi soltanabadi,8.6,3rd Category Prize,International Men's Group D Xingyi Quan
JPN,KATSUTO TAKANO,8.58,,International Men's Group D Xingyi Quan
USA,Audrey HUIE,8.83,1st Category Prize,International Women's Group B Bagua Zhang
TUR,Zeynep AKYUZ,8.82,2nd Category Prize,International Women's Group B Bagua Zhang
USA,Isabella MILLER,8.78,3rd Category Prize,International Women's Group B Bagua Zhang
RUS,Kamila IMANGULOVA,8.65,3rd Category Prize,International Women's Group B Bagua Zhang
CAN,Lissy Liu,8.63,,International Women's Group B Bagua Zhang
RUS,Idalia GAFAROVA,8.6,,International Women's Group B Bagua Zhang
USA,Rachel SU,8.5,,International Women's Group B Bagua Zhang
CHN,ZHANG KAI,8.9,1st Category Prize,International Men's Group D Bagua Zhang
USA,Gerard SILVA,8.89,2nd Category Prize,International Men's Group D Bagua Zhang
SVK,Peter KYSEL,8.81,3rd Category Prize,International Men's Group D Bagua Zhang
GER,Christian Ameis,8.78,3rd Category Prize,International Men's Group D Bagua Zhang
LAT,Anatolijs Kiselovs,8.63,,International Men's Group D Bagua Zhang
JPN,YOSHIHIRO NISHIKAWA,8.63,,International Men's Group D Bagua Zhang
UKR,Yudin Bohdan,8.8,1st Category Prize,International Men's Group B Baji Quan
USA,Aspen SHEN,8.72,2nd Category Prize,International Men's Group B Baji Quan
LAT,Daniils Kirjusins,8.72,2nd Category Prize,International Men's Group B Baji Quan
INA,MUHAMMAD RAFID ARYOKUSUMO,8.68,3rd Category Prize,International Men's Group B Baji Quan
CAN,Peter Nai Ming Guo,8.58,,International Men's Group B Baji Quan
RUS,Iuliia TIMIRKINA,9.09,1st Category Prize,International Women's Group C Baji Quan
UKR,Ganna Tereshchenko,9.08,2nd Category Prize,International Women's Group C Baji Quan
UKR,Varlamova Nataliia,9.06,3rd Category Prize,International Women's Group C Baji Quan
RUS,Elena VASENINA,9,3rd Category Prize,International Women's Group C Baji Quan
RUS,Nina SAFAROVA,8.86,,International Women's Group C Baji Quan
USA,Julianna YIP,8.78,,International Women's Group C Baji Quan
RUS,Alexey NAZINKIN,9.08,1st Category Prize,International Men's Group C Baji Quan
LTU,Aram MURADYAN,9,2nd Category Prize,International Men's Group C Baji Quan
RUS,Ivan MOLCHANOV,8.97,3rd Category Prize,International Men's Group C Baji Quan
MAC,KONG CHIN IEONG,8.91,3rd Category Prize,International Men's Group C Baji Quan
USA,Anthony DIAZ,8.9,,International Men's Group C Baji Quan
FRA,FACHON Mathieu,8.81,,International Men's Group C Baji Quan
NED,Nelson da Luz Bentes,8.7,,International Men's Group C Baji Quan
USA,Sen GAO,9.13,1st Category Prize,International Men's Group C Tongbei Quan
RUS,Andrey MORKOVKIN,9.05,2nd Category Prize,International Men's Group C Tongbei Quan
ESP,LUIS CALLE PANIAGUA,8.95,3rd Category Prize,International Men's Group C Tongbei Quan
BRU,Ang Lu Guan,8.9,3rd Category Prize,International Men's Group C Tongbei Quan
USA,Roger ROSALES,8.8,,International Men's Group C Tongbei Quan
MAR,MOHAMED AJBAH,8.64,,International Men's Group C Tongbei Quan
MAR,AZIZ ELHAIBA,8.58,,International Men's Group C Tongbei Quan
USA,Phillip DANG,8.96,1st Category Prize,International Men's Group C Fanzi Quan
GEO,DAVID GULISASHVIILI,8.91,2nd Category Prize,International Men's Group C Fanzi Quan
USA,Tony LENG,8.88,3rd Category Prize,International Men's Group C Fanzi Quan
USA,Edgar RUIZ,8.82,3rd Category Prize,International Men's Group C Fanzi Quan
FRA,GIOT Robin,8.53,,International Men's Group C Fanzi Quan
USA,Mia SHIUE,8.81,1st Category Prize,International Women's Group B Imitation Styles
USA,Brillian FU,8.78,1st Category Prize,International Women's Group B Imitation Styles
KAZ,Traize Regina,8.77,2nd Category Prize,International Women's Group B Imitation Styles
NED,Jehlee Jaquet,8.74,2nd Category Prize,International Women's Group B Imitation Styles
USA,Faith ZHANG,8.71,2nd Category Prize,International Women's Group B Imitation Styles
USA,Rachel LEE,8.71,2nd Category Prize,International Women's Group B Imitation Styles
NED,Lisa Muresu,8.66,3rd Category Prize,International Women's Group B Imitation Styles
USA,Rachel HO,8.65,3rd Category Prize,International Women's Group B Imitation Styles
UKR,Ivanova Mariya,8.62,3rd Category Prize,International Women's Group B Imitation Styles
USA,Selina LEE,8.62,3rd Category Prize,International Women's Group B Imitation Styles
USA,Fiona WANG,8.56,,International Women's Group B Imitation Styles
USA,Amber MIN,8.53,,International Women's Group B Imitation Styles
RSA,Nomthandazo Thabsile THUSI,8.53,,International Women's Group B Imitation Styles
USA,Yeeling TAI,8.5,,International Women's Group B Imitation Styles
USA,Jessica DU,8.5,,International Women's Group B Imitation Styles
USA,Angela SONG,8.45,,International Women's Group B Imitation Styles
USA,Alex NI,8.86,1st Category Prize,International Men's Group B Imitation Styles
RUS,Aleksander EMELIANINKO,8.84,1st Category Prize,International Men's Group B Imitation Styles
USA,Andre MAGNUM,8.71,2nd Category Prize,International Men's Group B Imitation Styles
USA,Angelo GUO,8.66,2nd Category Prize,International Men's Group B Imitation Styles
FRA,SAATENANG Dominique,8.65,2nd Category Prize,International Men's Group B Imitation Styles
USA,Song Tian OU,8.64,2nd Category Prize,International Men's Group B Imitation Styles
ITA,Lorenzo MURRU,8.6,3rd Category Prize,International Men's Group B Imitation Styles
USA,Josh WEINSTEIN,8.6,3rd Category Prize,International Men's Group B Imitation Styles
USA,Bridge LIU,8.59,3rd Category Prize,International Men's Group B Imitation Styles
NED,Dorin Radulescu,8.58,3rd Category Prize,International Men's Group B Imitation Styles
USA,Cheng-en YEW,8.57,3rd Category Prize,International Men's Group B Imitation Styles
USA,Lelan YUNG,8.57,3rd Category Prize,International Men's Group B Imitation Styles
USA,Brandon LIU,8.56,3rd Category Prize,International Men's Group B Imitation Styles
USA,Jack AQUI,8.56,3rd Category Prize,International Men's Group B Imitation Styles
ITA,Patrizio MAIORANO,8.56,3rd Category Prize,International Men's Group B Imitation Styles
USA,Anson SHEU,8.51,,International Men's Group B Imitation Styles
RSA,Carlin GLANSBEEK,8.51,,International Men's Group B Imitation Styles
USA,Jubei D AMATO,8.5,,International Men's Group B Imitation Styles
GER,Jean Michel Merten,8.48,,International Men's Group B Imitation Styles
USA,Bryant WANG,8.47,,International Men's Group B Imitation Styles
USA,Vincent SHEU,8.47,,International Men's Group B Imitation Styles
USA,Christian TSAI,8.45,,International Men's Group B Imitation Styles
JPN,MAARI IWATA,8.76,1st Category Prize,International Women's Group C Imitation Styles
UKR,LIUDMYLA TEMNA,8.75,2nd Category Prize,International Women's Group C Imitation Styles
UKR,Berezina Olexandra,8.72,2nd Category Prize,International Women's Group C Imitation Styles
USA,Jacqueline WONG,8.65,3rd Category Prize,International Women's Group C Imitation Styles
ITA,Sonia PUDDU,8.65,3rd Category Prize,International Women's Group C Imitation Styles
USA,Winny WEN,8.59,3rd Category Prize,International Women's Group C Imitation Styles
MAC,WAI PUI CHENG,8.57,,International Women's Group C Imitation Styles
CAN,Maria Bianca Ngo Go,8.56,,International Women's Group C Imitation Styles
NZL,Yin-Chi Lee,8.54,,International Women's Group C Imitation Styles
SVK,Simona HOLOTOVA,8.49,,International Women's Group C Imitation Styles
MEX,Maricela GUAJARDO,8.41,,International Women's Group C Imitation Styles
RUS,Vladimir MAXIMOV,8.87,1st Category Prize,International Men's Group C Imitation Styles
UKR,Andriy Fehetsyn,8.87,1st Category Prize,International Men's Group C Imitation Styles
RUS,Artem ZAGIBALOV,8.85,2nd Category Prize,International Men's Group C Imitation Styles
UKR,ROMAN REVA,8.83,2nd Category Prize,International Men's Group C Imitation Styles
LAT,Aleksandrs Gorskis,8.7,2nd Category Prize,International Men's Group C Imitation Styles
FRA,MBOUYOM Franck,8.7,2nd Category Prize,International Men's Group C Imitation Styles
JPN,KOICHI SUEYOSHI,8.67,3rd Category Prize,International Men's Group C Imitation Styles
KAZ,Dauletzhan Gali,8.67,3rd Category Prize,International Men's Group C Imitation Styles
NZL,Jun Nakanishi Selwyn,8.65,3rd Category Prize,International Men's Group C Imitation Styles
ITA,Alberto DI MUZIO,8.65,3rd Category Prize,International Men's Group C Imitation Styles
NED,Alex Cheung,8.65,3rd Category Prize,International Men's Group C Imitation Styles
USA,Stanley D AMATO,8.65,3rd Category Prize,International Men's Group C Imitation Styles
ITA,Claudio DI BENEDETTO,8.63,,International Men's Group C Imitation Styles
JPN,KOKI ODAKA,8.62,,International Men's Group C Imitation Styles
SVK,Jan HARGAS,8.6,,International Men's Group C Imitation Styles
ITA,Doriano EDOSINI,8.6,,International Men's Group C Imitation Styles
GER,Sven Teichmann,8.56,,International Men's Group C Imitation Styles
FRA,BAZI Ichem,8.54,,International Men's Group C Imitation Styles
MEX,Fernando CARDONA,8.53,,International Men's Group C Imitation Styles
RUS,Dmitrii ROGOV,8.88,1st Category Prize,International Men's Group D Imitation Styles
ROU,Serbanescu Mihai,8.82,2nd Category Prize,International Men's Group D Imitation Styles
LAT,Aleksejs Gailiss,8.81,3rd Category Prize,International Men's Group D Imitation Styles
ECU,PAUL PACHARD,8.77,,International Men's Group D Imitation Styles
USA,Noah YEUNG,8.48,1st Category Prize,International Men's Group A Cha Quan
USA,John HU,8.42,2nd Category Prize,International Men's Group A Cha Quan
USA,Jacob Lion PROANO,8.41,3rd Category Prize,International Men's Group A Cha Quan
ROU,Popa Andrei Daniel,8.4,3rd Category Prize,International Men's Group A Cha Quan
ROU,Moise Vlad Ioan,8.39,,International Men's Group A Cha Quan
USA,Daniel WANG,8.37,,International Men's Group A Cha Quan
GEO,MARIAM TURMANIDZE,8.8,1st Category Prize,International Women's Group B Cha Quan
HKG,SHAM Hui Yu Lydia,8.73,2nd Category Prize,International Women's Group B Cha Quan
USA,Katherine HU,8.61,2nd Category Prize,International Women's Group B Cha Quan
USA,Aileen MEMBRENO,8.55,3rd Category Prize,International Women's Group B Cha Quan
USA,Bernice LUONG,8.52,3rd Category Prize,International Women's Group B Cha Quan
USA,Adrian LUONG,8.51,3rd Category Prize,International Women's Group B Cha Quan
USA,Shining XI,8.51,3rd Category Prize,International Women's Group B Cha Quan
ROU,Cretu Iasmina Elena,8.5,,International Women's Group B Cha Quan
ROU,Socaci Cindy Marie,8.48,,International Women's Group B Cha Quan
ITA,Francesca MOSCA CIPRIANI,8.48,,International Women's Group B Cha Quan
ROU,Serbanescu Mara,8.46,,International Women's Group B Cha Quan
USA,Ayden NGUYEN,8.65,1st Category Prize,International Men's Group B Cha Quan
ROU,Bleaja Cristea Alexandru,8.63,2nd Category Prize,International Men's Group B Cha Quan
ROU,Grigorescu Anton Adamani,8.59,2nd Category Prize,International Men's Group B Cha Quan
USA,Eddie QIAN,8.56,3rd Category Prize,International Men's Group B Cha Quan
USA,Mason BRAYTON,8.56,3rd Category Prize,International Men's Group B Cha Quan
USA,Bryan GAO,8.52,3rd Category Prize,International Men's Group B Cha Quan
USA,Lianhao LI,8.5,,International Men's Group B Cha Quan
SRI,B.D.PROMOD DERIC SHERMAN,8.48,,International Men's Group B Cha Quan
USA,Jeffrey CHENG,8.45,,International Men's Group B Cha Quan
HKG,HO Wing Keung,9.1,1st Category Prize,International Men's Group E Traditional Yang Style Taijiquan
AUS,Choo Beng Chew,8.96,1st Category Prize,International Men's Group E Traditional Yang Style Taijiquan
