Team,Athlete,Score,Form
USA,Landau TZOU,8.29,Men's Group B Other Types of Traditional Styles
USA,Marshall Tsan-wei BRAYTON,8.28,Men's Group B Other Types of Traditional Styles
USA,Kent Conrad EISMA,8.28,Men's Group B Other Types of Traditional Styles
USA,Raiden GUNAWAN,8.27,Men's Group B Other Types of Traditional Styles
USA,Brad WU,8.27,Men's Group B Other Types of Traditional Styles
USA,Lyubomir TZANKOV,8.26,Men's Group B Other Types of Traditional Styles
USA,Miles LIU,8.26,Men's Group B Other Types of Traditional Styles
USA,Isaac WU,8.26,Men's Group B Other Types of Traditional Styles
USA,Augustin YIM,8.25,Men's Group B Other Types of Traditional Styles
CAN,Rui Lang WANG,8.24,Men's Group B Other Types of Traditional Styles
AUS,Daniel LIN,8.23,Men's Group B Other Types of Traditional Styles
USA,Donghe ZHANG,8.2,Men's Group B Other Types of Traditional Styles
GER,David KLEINSCHMIDT,8.19,Men's Group B Other Types of Traditional Styles
USA,Bryant WANG,8.19,Men's Group B Other Types of Traditional Styles
MAS,Wei Ming CHUA,8.18,Men's Group B Other Types of Traditional Styles
USA,Jake MA,8.16,Men's Group B Other Types of Traditional Styles
USA,Jonathan QIU,8.13,Men's Group B Other Types of Traditional Styles
USA,Timothy JIANG,8.13,Men's Group B Other Types of Traditional Styles
USA,Elijah YU,8.1,Men's Group B Other Types of Traditional Styles
USA,Kenny PHAN,8.1,Men's Group B Other Types of Traditional Styles
BRA,Luiz Felipe SEBASTIAO MARINS,8.08,Men's Group B Other Types of Traditional Styles
USA,Ashvik VADLAMANI,8.04,Men's Group B Other Types of Traditional Styles
USA,Anand GARAI,8.02,Men's Group B Other Types of Traditional Styles
TJK,Saidafzal IKROMOV,,Men's Group B Other Types of Traditional Styles
USA,Jasper Zhen Bao LI,8.44,Men's Group B Southern Styles Nanquan
CAN,Max Si-cheng DONG,8.36,Men's Group B Southern Styles Nanquan
USA,Jamie WHITFORD,8.35,Men's Group B Southern Styles Nanquan
POL,Mieszko Leszek PRZYGODA,8.29,Men's Group B Southern Styles Nanquan
IND,Sarthak VERMA,,Men's Group B Southern Styles Nanquan
IND,VERMA SARTHAK,,Men's Group B Southern Styles Nanquan
USA,Samuel WANG,8.6,Men's Group C Baji Quan
USA,Evan XU,8.57,Men's Group C Baji Quan
USA,Kenny LIANG,8.54,Men's Group C Baji Quan
TUN,Ahmed ESSID,8.54,Men's Group C Baji Quan
EGY,Mohamed Osama Abdelsalam ELAZAB,8.51,Men's Group C Baji Quan
USA,Banyan JULLIAN,8.45,Men's Group C Baji Quan
USA,Aspen SHEN,8.44,Men's Group C Baji Quan
USA,Jaden AGIN,8.42,Men's Group C Baji Quan
FRA,Andre-gabriel METZMACHER,8.41,Men's Group C Baji Quan
SRI,Yasintha Randunu Karunarathna GAMAGE MUDIYANSELAGE,8.33,Men's Group C Baji Quan
SRI,Deneth Sankalpa Ranthilaka CHINAGAHA KUBURE GEDARA,8.3,Men's Group C Baji Quan
SRI,Naveen Lakshan Madusanka HERATH JAYASUNDARALAGE,8.27,Men's Group C Baji Quan
SRI,Senith Dilmith Yasanayaka WALPITA GAMAGE,8.26,Men's Group C Baji Quan
USA,Alex Mushan ZHANG,8.52,Men's Group C Cha Quan
GEO,Luka KHUTIASHVILI,8.51,Men's Group C Cha Quan
USA,Ryan GALLAGHER,8.49,Men's Group C Cha Quan
USA,Randall ROSS,8.48,Men's Group C Cha Quan
USA,Benny LAM,8.48,Men's Group C Cha Quan
USA,Ollie LIANG,8.47,Men's Group C Cha Quan
ITA,Luca CASAGRANDE,8.47,Men's Group C Cha Quan
SVK,Patrik HATALA,8.45,Men's Group C Cha Quan
TPE,Yu Yu LIN,8.44,Men's Group C Cha Quan
GEO,Guram PIRTSKHALAVA,8.43,Men's Group C Cha Quan
USA,Jason CHEN,8.4,Men's Group C Cha Quan
USA,Alex LIU,8.4,Men's Group C Cha Quan
USA,Jackson GALLAGHER,8.4,Men's Group C Cha Quan
USA,Brandon LEE,8.39,Men's Group C Cha Quan
SRI,Sandun Sulochana PADUKKA VIDANELAGE,8.38,Men's Group C Cha Quan
IND,Yogakarthikeyan NARAYANAN,8.37,Men's Group C Cha Quan
USA,Ivan WANG,8.27,Men's Group C Cha Quan
IND,Velayutham THARMAR,7.91,Men's Group C Cha Quan
IND,Davnam Parth .,7.87,Men's Group C Cha Quan
USA,Bailey GONG,8.93,Men's Group C Dao (Broadsword)
USA,Austin SHAW,8.86,Men's Group C Dao (Broadsword)
IND,Yogakarthikeyan NARAYANAN,8.85,Men's Group C Dao (Broadsword)
HUN,Roland Akos OLAH,8.8,Men's Group C Dao (Broadsword)
MAS,Ye Jack LIM,8.77,Men's Group C Dao (Broadsword)
GER,Jean Michel MERTEN,8.74,Men's Group C Dao (Broadsword)
USA,Brandon TENG,8.73,Men's Group C Dao (Broadsword)
ITA,Vittorio GELMI,8.72,Men's Group C Dao (Broadsword)
MAS,Shun Jed LUI,8.7,Men's Group C Dao (Broadsword)
USA,Jason CHEN,8.69,Men's Group C Dao (Broadsword)
GRE,Ioannis POLYZOS,8.68,Men's Group C Dao (Broadsword)
ITA,Simone RULLO,8.67,Men's Group C Dao (Broadsword)
GRE,Alexandros TSOUKIAS,8.62,Men's Group C Dao (Broadsword)
USA,Ashton WU,8.58,Men's Group C Dao (Broadsword)
TPE,Yu Yu LIN,8.57,Men's Group C Dao (Broadsword)
SRI,Deneth Sankalpa Ranthilaka CHINAGAHA KUBURE GEDARA,8.53,Men's Group C Dao (Broadsword)
USA,Eric HOU,8.5,Men's Group C Dao (Broadsword)
SRI,Senith Dilmith Yasanayaka WALPITA GAMAGE,8.48,Men's Group C Dao (Broadsword)
SRI,Naveen Lakshan Madusanka HERATH JAYASUNDARALAGE,8.43,Men's Group C Dao (Broadsword)
SRI,Yasintha Randunu Karunarathna GAMAGE MUDIYANSELAGE,8.4,Men's Group C Dao (Broadsword)
CHI,Benjamin Ignacio HENRIQUEZ SERRANO,8.38,Men's Group C Dao (Broadsword)
TUN,Jihed BELLOUMI,,Men's Group C Dao (Broadsword)
TJK,Salikhov Saddam,,Men's Group C Dao (Broadsword)
PER,Jan Franco VASQUEZ LEVANO,8.64,Men's Group C Ditang Quan
USA,Nathan LY,8.61,Men's Group C Ditang Quan
USA,Shaun CHEN,8.58,Men's Group C Ditang Quan
USA,Ashton YIM,8.55,Men's Group C Ditang Quan
ALG,Mahmoudi MOHAMED,8.47,Men's Group C Ditang Quan
USA,Luke TIAN,8.37,Men's Group C Ditang Quan
TJK,Saidqosim SAIDOLIMOV,8.32,Men's Group C Ditang Quan
USA,Ethan ZHU,8.03,Men's Group C Ditang Quan
TUN,Ahmed ESSID,8.67,Men's Group C Gun (Cudgel/Staff)
GRE,Nikolaos NISIOTIS,8.66,Men's Group C Gun (Cudgel/Staff)
ITA,William BADAS,8.65,Men's Group C Gun (Cudgel/Staff)
USA,William VO,8.65,Men's Group C Gun (Cudgel/Staff)
USA,Jeffrey CHENG,8.63,Men's Group C Gun (Cudgel/Staff)
USA,Siddharth MANE,8.58,Men's Group C Gun (Cudgel/Staff)
MAS,Yu Wen WONG,8.57,Men's Group C Gun (Cudgel/Staff)
USA,Vincent XU,8.56,Men's Group C Gun (Cudgel/Staff)
SRI,Sandun Sulochana PADUKKA VIDANELAGE,8.53,Men's Group C Gun (Cudgel/Staff)
USA,Allen WU,8.45,Men's Group C Gun (Cudgel/Staff)
USA,Jason WONG,8.45,Men's Group C Gun (Cudgel/Staff)
USA,Neo CHANG,8.43,Men's Group C Gun (Cudgel/Staff)
USA,Vincent HUANG,8.41,Men's Group C Gun (Cudgel/Staff)
GRE,Ioannis POLYZOS,,Men's Group C Gun (Cudgel/Staff)
MAS,Shun Jed LUI,8.6,Men's Group C Hua Quan
USA,Bailey GONG,8.56,Men's Group C Hua Quan
USA,Jason WONG,8.46,Men's Group C Hua Quan
USA,Vincent HUANG,8.42,Men's Group C Hua Quan
USA,Thomas HOU,8.38,Men's Group C Hua Quan
MAS,Zer Xuan KOW,8.34,Men's Group C Hua Quan
USA,Robert CUNNINGHAM,8.32,Men's Group C Hua Quan
USA,Eric HOU,8.31,Men's Group C Hua Quan
SRI,Nethum Dulavin De Silva WARDANA,8.22,Men's Group C Hua Quan
USA,Alex CAO,8.67,Men's Group C Imitation Eagle Style
USA,Lianhao LI,8.55,Men's Group C Imitation Eagle Style
USA,Bryan GAO,8.48,Men's Group C Imitation Eagle Style
USA,Nick MADSEN,8.45,Men's Group C Imitation Eagle Style
USA,Jeffrey CHENG,8.32,Men's Group C Imitation Eagle Style
SRI,Sahan Kavinda NANAYAKKARA HEWA GURULUTHUDUWAGE,8.29,Men's Group C Imitation Eagle Style
UKR,Oleksii KOLISNYK,8.56,Men's Group C Imitation Eagle Style
USA,Alec ZHANG,8.59,Men's Group C Imitation Other Styles
GER,Jean Michel MERTEN,8.51,Men's Group C Imitation Other Styles
USA,Andre MAGNUM,8.5,Men's Group C Imitation Other Styles
EGY,Kareem shoheib,8.48,Men's Group C Imitation Other Styles
USA,Oliver SPIRO,8.46,Men's Group C Imitation Other Styles
USA,Benjamin WRINN,8.42,Men's Group C Imitation Other Styles
USA,Alan MAYER,8.4,Men's Group C Imitation Other Styles
SGP,Neo Gao En NEO,8.38,Men's Group C Imitation Other Styles
SRI,Dulara Sandun Senevirathna WALADANA ARACHCHILAGE,8.37,Men's Group C Imitation Other Styles
USA,Kevin YANG,8.3,Men's Group C Imitation Other Styles
USA,Jack AQUI,,Men's Group C Imitation Other Styles
USA,Joseph WANG,8.54,Men's Group C Imitation Tang Lang Styles
ITA,Vittorio GELMI,8.47,Men's Group C Imitation Tang Lang Styles
USA,Matthew WANG,8.46,Men's Group C Imitation Tang Lang Styles
ITA,Simone Gennaro MAIORANO,8.45,Men's Group C Imitation Tang Lang Styles
AUS,Aaron KUOK,8.37,Men's Group C Imitation Tang Lang Styles
ITA,Joao Paulo PETITO,,Men's Group C Imitation Tang Lang Styles
SVK,Patrik HATALA,8.92,Men's Group C Jian (Straight Sword)
USA,Alex Mushan ZHANG,8.82,Men's Group C Jian (Straight Sword)
USA,Aspen SHEN,8.78,Men's Group C Jian (Straight Sword)
USA,Mason Tsan-ming BRAYTON,8.77,Men's Group C Jian (Straight Sword)
GER,Alexander TOROPOV,8.68,Men's Group C Jian (Straight Sword)
KAZ,Daniil ORAILO,8.66,Men's Group C Jian (Straight Sword)
USA,Luke ZHOU,8.64,Men's Group C Jian (Straight Sword)
ITA,Simone Gennaro MAIORANO,8.63,Men's Group C Jian (Straight Sword)
TJK,Saidqosim SAIDOLIMOV,8.61,Men's Group C Jian (Straight Sword)
USA,Justin SU,8.57,Men's Group C Jian (Straight Sword)
USA,Gavin ZHAO,8.51,Men's Group C Jian (Straight Sword)
USA,Robert CUNNINGHAM,8.5,Men's Group C Jian (Straight Sword)
IND,Velayutham THARMAR,7.89,Men's Group C Jian (Straight Sword)
GEO,Rauli MAMEDOVI,8.55,Men's Group C Nan Dao (Southern Broadsword)
USA,Allen ZHAO,8.48,Men's Group C Nan Dao (Southern Broadsword)
GEO,Giorgi GERMANOZASVILI,8.44,Men's Group C Nan Dao (Southern Broadsword)
SRI,Dihen Vindiw TIKIRA HENNADIGE,8.4,Men's Group C Nan Dao (Southern Broadsword)
SRI,Keshara Vikum Senevirathna EDIRIWEERA PATHIRANAGE,8.36,Men's Group C Nan Dao (Southern Broadsword)
SRI,Asith Pasandul Paranavithana SAMARARARATHNA MUHANDIRAMGE,8.35,Men's Group C Nan Dao (Southern Broadsword)
PAK,Muhammad DAWOOD,,Men's Group C Nan Dao (Southern Broadsword)
SRI,Pathum Poorna VANCUYLENBERG,8.72,Men's Group C Nan Gun (Southern Staff/Cudgel)
SRI,Manuja Maneeka RATHNAYAKE,8.57,Men's Group C Nan Gun (Southern Staff/Cudgel)
USA,Miles LUU,8.51,Men's Group C Nan Gun (Southern Staff/Cudgel)
PER,Shandarie LOLI MORALES,8.5,Men's Group C Nan Gun (Southern Staff/Cudgel)
USA,Zheyu CHEN,8.48,Men's Group C Nan Gun (Southern Staff/Cudgel)
GRE,Dimitrios BARMPAGIANNIS,8.47,Men's Group C Nan Gun (Southern Staff/Cudgel)
SRI,Sahan Kavinda NANAYAKKARA HEWA GURULUTHUDUWAGE,8.46,Men's Group C Nan Gun (Southern Staff/Cudgel)
SRI,Kushan Prabod WICKCRAMA KURUPPU ARACHCHIGE,8.42,Men's Group C Nan Gun (Southern Staff/Cudgel)
SRI,Dulara Sandun Senevirathna WALADANA ARACHCHILAGE,8.38,Men's Group C Nan Gun (Southern Staff/Cudgel)
USA,Nathan CHOU,8.9,Men's Group C Other Taijiquan
USA,Reid LINDSAY,8.89,Men's Group C Other Taijiquan
EGY,Youssef KHALIL,8.84,Men's Group C Other Taijiquan
MAS,Zi Hong WONG,8.82,Men's Group C Other Taijiquan
USA,Michail Panchev TZANKOV,8.78,Men's Group C Other Taijiquan
USA,Zhaokai HE,8.75,Men's Group C Other Taijiquan
USA,Bailing HOU,8.72,Men's Group C Other Taijiquan
SRI,Chenura Supipun Dissanayake DISSANAYAKE MUDIYANSELAGE,8.7,Men's Group C Other Taijiquan
IND,Omkar Rhushikesh MODAK,8.66,Men's Group C Other Taijiquan
USA,Michael LI,8.63,Men's Group C Other Taijiquan
IND,Sahil Manzoor .,8.5,Men's Group C Other Taijiquan
USA,Lucas Ximing DU,8.39,Men's Group C Other Taijiquan
USA,Lianhao LI,8.79,Men's Group C Other Traditional Double Weapon
EGY,Marawan Atef Abdelmaksoud MEGHAWRY,8.76,Men's Group C Other Traditional Double Weapon
USA,Joseph WANG,8.75,Men's Group C Other Traditional Double Weapon
PER,Jan Franco VASQUEZ LEVANO,8.73,Men's Group C Other Traditional Double Weapon
USA,Justin WANG,8.72,Men's Group C Other Traditional Double Weapon
UKR,Oleksii KOLISNYK,8.69,Men's Group C Other Traditional Double Weapon
POL,Lukasz Mateusz MASLANKA,8.68,Men's Group C Other Traditional Double Weapon
USA,Banyan JULLIAN,8.67,Men's Group C Other Traditional Double Weapon
EGY,Kareem shoheib,8.62,Men's Group C Other Traditional Double Weapon
USA,Brandon LEE,8.54,Men's Group C Other Traditional Double Weapon
USA,Jack ROTHENFLUCH,8.52,Men's Group C Other Traditional Double Weapon
USA,Oliver SPIRO,8.47,Men's Group C Other Traditional Double Weapon
USA,Richard CHIN,8.47,Men's Group C Other Traditional Double Weapon
USA,Alan MAYER,8.4,Men's Group C Other Traditional Double Weapon
PER,Marco Aurelio CASTIGLIONE SANCHEZ,,Men's Group C Other Traditional Double Weapon
USA,Andre MAGNUM,8.75,Men's Group C Other Traditional Single Weapon
EGY,Mazen ABOUELKASEM,8.74,Men's Group C Other Traditional Single Weapon
USA,Benjamin ZHANG,8.7,Men's Group C Other Traditional Single Weapon
TPE,Yao Tso CHEN,8.64,Men's Group C Other Traditional Single Weapon
TPE,Yu Yu YANG,8.54,Men's Group C Other Traditional Single Weapon
USA,Alex LIU,8.53,Men's Group C Other Traditional Single Weapon
USA,Michael LI,8.52,Men's Group C Other Traditional Single Weapon
USA,Adrian WAIBLINGER,8.45,Men's Group C Other Traditional Single Weapon
SRI,Nethum Dulavin De Silva WARDANA,8.4,Men's Group C Other Traditional Single Weapon
USA,Lucas Ximing DU,8.37,Men's Group C Other Traditional Single Weapon
USA,Kevin YANG,8.35,Men's Group C Other Traditional Single Weapon
EGY,Mohamed AWAD,8.27,Men's Group C Other Traditional Single Weapon
USA,Ryan YEE,8.55,Men's Group C Other Types of Traditional Styles
MAS,Ye Jack LIM,8.54,Men's Group C Other Types of Traditional Styles
MAS,Yu Wen WONG,8.5,Men's Group C Other Types of Traditional Styles
EGY,Marawan Atef Abdelmaksoud MEGHAWRY,8.47,Men's Group C Other Types of Traditional Styles
USA,Justin WANG,8.47,Men's Group C Other Types of Traditional Styles
USA,Ziyue HE,8.45,Men's Group C Other Types of Traditional Styles
MAS,Mi Men TAN,8.44,Men's Group C Other Types of Traditional Styles
USA,Vearnest McClellan lll,8.41,Men's Group C Other Types of Traditional Styles
USA,Stephen LO,8.41,Men's Group C Other Types of Traditional Styles
USA,Luke ZHOU,8.4,Men's Group C Other Types of Traditional Styles
USA,Frank Wenhao WU,8.4,Men's Group C Other Types of Traditional Styles
USA,Joshua WANG,8.36,Men's Group C Other Types of Traditional Styles
SGP,Shannon Woo Hong Wei WOO,8.34,Men's Group C Other Types of Traditional Styles
GRE,Dimitrios BARMPAGIANNIS,8.32,Men's Group C Other Types of Traditional Styles
USA,Leon SONG,8.31,Men's Group C Other Types of Traditional Styles
USA,Ashton WU,8.31,Men's Group C Other Types of Traditional Styles
USA,Adrian WAIBLINGER,8.31,Men's Group C Other Types of Traditional Styles
EGY,Mohamed AWAD,8.27,Men's Group C Other Types of Traditional Styles
USA,Vincent XU,8.2,Men's Group C Other Types of Traditional Styles
SRI,Keshara Vikum Senevirathna EDIRIWEERA PATHIRANAGE,8.14,Men's Group C Other Types of Traditional Styles
USA,Allen WU,7.98,Men's Group C Other Types of Traditional Styles
TJK,Salikhov Saddam,,Men's Group C Other Types of Traditional Styles
TPE,Yu Hsien CHANG,9,Men's Group C P Dao(Kwan Dao)
USA,Samuel WANG,8.99,Men's Group C P Dao(Kwan Dao)
USA,Kenny LIANG,8.89,Men's Group C P Dao(Kwan Dao)
TUR,Necmettin Erbakan AKYUZ,8.88,Men's Group C P Dao(Kwan Dao)
EGY,Mohamed Osama Abdelsalam ELAZAB,8.86,Men's Group C P Dao(Kwan Dao)
FRA,Casey CALABER,8.85,Men's Group C P Dao(Kwan Dao)
CZE,Karel KORENC,8.84,Men's Group C P Dao(Kwan Dao)
USA,Jason LUO,8.82,Men's Group C P Dao(Kwan Dao)
USA,Seth BURNS,8.81,Men's Group C P Dao(Kwan Dao)
INA,Arya GITA SENTOSA,8.75,Men's Group C P Dao(Kwan Dao)
CZE,Max PROCHAZKA,8.73,Men's Group C P Dao(Kwan Dao)
USA,Benny LAM,8.72,Men's Group C P Dao(Kwan Dao)
SVK,Michal REDHAMMER,8.71,Men's Group C P Dao(Kwan Dao)
MAS,Zer Xuan KOW,8.7,Men's Group C P Dao(Kwan Dao)
USA,Randall ROSS,8.69,Men's Group C P Dao(Kwan Dao)
USA,Jackson GALLAGHER,8.69,Men's Group C P Dao(Kwan Dao)
MAS,Wei Bin CHIN,8.65,Men's Group C P Dao(Kwan Dao)
USA,Hanson MA,8.61,Men's Group C P Dao(Kwan Dao)
USA,Eric YEH,8.6,Men's Group C P Dao(Kwan Dao)
USA,Benjamin WRINN,8.54,Men's Group C P Dao(Kwan Dao)
ITA,Joao Paulo PETITO,,Men's Group C P Dao(Kwan Dao)
USA,Vearnest McClellan lll,,Men's Group C P Dao(Kwan Dao)
ITA,Luca CASAGRANDE,8.78,Men's Group C Qiang (Spear)
SGP,Shannon Woo Hong Wei WOO,8.74,Men's Group C Qiang (Spear)
USA,Stephen LO,8.7,Men's Group C Qiang (Spear)
MAS,Mi Men TAN,8.68,Men's Group C Qiang (Spear)
USA,Lai TRAN,8.63,Men's Group C Qiang (Spear)
USA,Thomas HOU,8.6,Men's Group C Qiang (Spear)
AUS,Aaron KUOK,8.54,Men's Group C Qiang (Spear)
UKR,Dmytro GREBELNYI,8.65,Men's Group C Shaolin Gun
SVK,Tobias KITTA,8.61,Men's Group C Shaolin Gun
USA,Nick MADSEN,8.59,Men's Group C Shaolin Gun
GEO,Luka KHUTIASHVILI,8.58,Men's Group C Shaolin Gun
USA,Joshua WANG,8.56,Men's Group C Shaolin Gun
GEO,Guram PIRTSKHALAVA,8.55,Men's Group C Shaolin Gun
GER,Thomas SCHNEIDER,8.49,Men's Group C Shaolin Gun
ROU,Victor HASIEGANU,8.42,Men's Group C Shaolin Gun
FRA,Andre-gabriel METZMACHER,8.42,Men's Group C Shaolin Gun
USA,Brandon TENG,8.64,Men's Group C Shaolin Quan
USA,Jason LUO,8.63,Men's Group C Shaolin Quan
EGY,Mazen ABOUELKASEM,8.63,Men's Group C Shaolin Quan
ITA,Simone RULLO,8.62,Men's Group C Shaolin Quan
USA,William VO,8.61,Men's Group C Shaolin Quan
POL,Maksymilian Grzegorz MURSZEWSKI,8.61,Men's Group C Shaolin Quan
TPE,Yao Tso CHEN,8.6,Men's Group C Shaolin Quan
GER,Thomas SCHNEIDER,8.54,Men's Group C Shaolin Quan
USA,Benjamin ZHANG,8.54,Men's Group C Shaolin Quan
UKR,Dmytro GREBELNYI,8.52,Men's Group C Shaolin Quan
CZE,Karel KORENC,8.52,Men's Group C Shaolin Quan
USA,Seth BURNS,8.52,Men's Group C Shaolin Quan
GRE,Ioannis POLYZOS,8.51,Men's Group C Shaolin Quan
SVK,Tobias KITTA,8.51,Men's Group C Shaolin Quan
INA,Arya GITA SENTOSA,8.5,Men's Group C Shaolin Quan
USA,Neo CHANG,8.49,Men's Group C Shaolin Quan
ITA,William BADAS,8.49,Men's Group C Shaolin Quan
USA,Richard CHIN,8.49,Men's Group C Shaolin Quan
HUN,Roland Akos OLAH,8.47,Men's Group C Shaolin Quan
USA,Lai TRAN,8.46,Men's Group C Shaolin Quan
KAZ,Daniil ORAILO,8.44,Men's Group C Shaolin Quan
USA,Justin SU,8.43,Men's Group C Shaolin Quan
INA,Hans SANUYA WIJAYA,8.42,Men's Group C Shaolin Quan
USA,Bryan GAO,8.74,Men's Group C Shuang Dao (Double Broadsword)
USA,Alex CAO,8.73,Men's Group C Shuang Dao (Double Broadsword)
EGY,Walid WAHIBY,8.7,Men's Group C Shuang Dao (Double Broadsword)
USA,Shaun CHEN,8.68,Men's Group C Shuang Dao (Double Broadsword)
USA,Ziyue HE,8.67,Men's Group C Shuang Dao (Double Broadsword)
USA,Ollie LIANG,8.64,Men's Group C Shuang Dao (Double Broadsword)
INA,Hans SANUYA WIJAYA,8.54,Men's Group C Shuang Dao (Double Broadsword)
USA,Kaden LUU,8.5,Men's Group C Shuang Dao (Double Broadsword)
USA,Bailing HOU,8.47,Men's Group C Shuang Dao (Double Broadsword)
USA,Leon SONG,8.44,Men's Group C Shuang Dao (Double Broadsword)
USA,Ivan WANG,8.4,Men's Group C Shuang Dao (Double Broadsword)
TPE,Yu Hsien CHANG,8.61,Men's Group C Southern Styles Nanquan
SRI,Pathum Poorna VANCUYLENBERG,8.58,Men's Group C Southern Styles Nanquan
TPE,Yu Yu YANG,8.55,Men's Group C Southern Styles Nanquan
GEO,Rauli MAMEDOVI,8.55,Men's Group C Southern Styles Nanquan
SRI,Dihen Vindiw TIKIRA HENNADIGE,8.54,Men's Group C Southern Styles Nanquan
GRE,Nikolaos NISIOTIS,8.52,Men's Group C Southern Styles Nanquan
SRI,Manuja Maneeka RATHNAYAKE,8.48,Men's Group C Southern Styles Nanquan
