Rank	Bib	Athlete	NOC	Total				
1	04509	OKUN Carmel	ISR	8.87	1ST Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
2	02116	VIZI Enikő	HUN	8.83	1ST Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
3	01512	PISANI Teresa Aida	ITA	8.82	2ND Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
4	02028	YIM Wing Tung	HKG	8.82	2ND Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
5	02403	KUSPANOVA Dayana	KAZ	8.78	2ND Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
6	01516	TARTUFOLI Alessia	ITA	8.74	2ND Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
7	01910	KOKOLESI Elena	GRC	8.69	3RD Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
8	02107	HORVÁTH Dora Timea	HUN	8.61	3RD Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
9	02822	PANECATL URQUIZA Karen Priscila	MEX	8.6	3RD Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
10	00502	GUEVARA PINEDO Wara Lucero	BOL	8.58	3RD Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
11	02109	KUN Enikő	HUN	8.57	3RD Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
12	00601	ALENCAR RIBEIRO Regina Helena	BRA	8.53	3RD Prize	. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
13	00713	Myrsini Chionia CHRISTODOULELLI	GBR	8.52		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
14	01940	VATZAKA Maria Eleni	GRC	8.49		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
15	04360	WESTERMAN Megan Ruth	USA	8.49		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
16	00625	PATTARO DE MENDONÇA Solange	BRA	8.47		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
17	03510	JACOBS Bianca Candice	ZAF	8.45		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
18	02827	TREJO ROMAN Liliana	MEX	8.38		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
19	05002	BAHODUROVA Firuzakhon	TJK	8		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
	03511	JACOBS Shannon Stephanie	ZAF	(DNS)		. Women's Shaolinquan-Group D	Wushu Taolu	Emeishan
1	00907	DUAN Yuan	CHN	9.25	1ST Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
2	04502	CHIRILIUC Anastasia	ISR	9.15	1ST Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
3	00903	CHEN Yu	CHN	9.12	1ST Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
4	00938	Chong Yaru	CHN	9.1	2ND Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
5	00906	DAI Weilong	CHN	9.02	2ND Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
6	00939	ZHOU Lin	CHN	9	2ND Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
7	04361	WONG Amy Ka-Lai	USA	8.89	2ND Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
8	04213	POLTORATSKA Yana	UKR	8.88	2ND Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
9	04508	MOVSHOVICH Shelly	ISR	8.86	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
10	00611	DOS SANTOS DE ARAÚJO Raquel	BRA	8.84	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
11	00623	NASCIMENTO CELESTINO GUERREIRO Suelen Cristina	BRA	8.83	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
12	00915	LI Jinsong	CHN	8.83	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
13	02114	SIMON Viktoria	HUN	8.77	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
14	04706	JASMINE TAY Jing Xuan	MYS	8.75	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
15	02605	MALAHOVA Polina	LVA	8.74	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
16	03909	TASHMATOVA Aisalkyn	KGZ	8.6	3RD Prize	. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
17	01409	GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria	PRT	8.5		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
18	03506	DU PLESSIS Nerine	ZAF	8.46		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
19	04408	NGUYEN Thi Thao Nguyen	VNM	8.43		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
20	03511	JACOBS Shannon Stephanie	ZAF	8.42		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
21	04319	GORDON Ayla Nunnehi	USA	8.32		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
22	00701	Ashleigh Nicola Jade WYKES	GBR	8.32		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
23	04904	DAUNDASEKARA MUDIYANSELAGE Sachari Lanka	LKA	8.29		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
24	03020	OBEANU Mara Georgia Alina	ROU	8.22		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
